"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"","","","","","image-keyboard-response","58","2.0.0","47447","346","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","59","2.0.0","49450","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","60","2.0.0","49841","389","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","61","2.0.0","50595","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","62","2.0.0","50983","386","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","63","2.0.0","51987","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","64","2.0.0","52395","406","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","65","2.0.0","52647","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","66","2.0.0","53033","384","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","67","2.0.0","54536","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","68","2.0.0","55053","515","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","69","2.0.0","57056","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","70","2.0.0","57481","423","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","71","2.0.0","57734","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","72","2.0.0","58211","475","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","73","2.0.0","59213","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","74","2.0.0","59770","555","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","75","2.0.0","60272","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","76","2.0.0","60578","303","images/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","77","2.0.0","61331","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","78","2.0.0","62894","1560","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","79","2.0.0","63646","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","80","2.0.0","63974","326","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","81","2.0.0","65477","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","82","2.0.0","65834","356","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","83","2.0.0","66839","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","84","2.0.0","67215","374","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","85","2.0.0","67970","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","86","2.0.0","68349","376","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","87","2.0.0","68600","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","88","2.0.0","69021","419","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","89","2.0.0","69523","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","90","2.0.0","70036","510","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","91","2.0.0","70289","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","92","2.0.0","70652","362","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","93","2.0.0","72655","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","94","2.0.0","73167","510","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","95","2.0.0","73420","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","96","2.0.0","73813","391","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","97","2.0.0","75066","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","98","2.0.0","75493","426","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","99","2.0.0","75995","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","100","2.0.0","76454","457","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","101","2.0.0","77959","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","102","2.0.0","78386","425","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","103","2.0.0","112248","33861","<p>You responded correctly on 94% of the trials.</p>
          <p>Your average response time was 426ms.</p>
          <p>Press any key to complete the experiment. Thank you!</p>"," ","","",""
