"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"","","","","","image-keyboard-response","58","2.0.0","61972","379","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","59","2.0.0","63983","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","60","2.0.0","64680","696","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","61","2.0.0","66184","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","62","2.0.0","66544","358","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","63","2.0.0","67052","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","64","2.0.0","67405","353","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","65","2.0.0","67666","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","66","2.0.0","68017","349","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","67","2.0.0","68783","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","68","2.0.0","69073","289","images/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","69","2.0.0","71075","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","70","2.0.0","71759","683","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","71","2.0.0","73263","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","72","2.0.0","73633","368","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","73","2.0.0","74395","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","74","2.0.0","74788","392","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","75","2.0.0","76552","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","76","2.0.0","76937","384","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","77","2.0.0","78945","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","78","2.0.0","79366","420","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","79","2.0.0","79620","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","80","2.0.0","80076","455","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","81","2.0.0","81092","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","82","2.0.0","81445","351","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","83","2.0.0","81961","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","84","2.0.0","82434","472","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","85","2.0.0","83198","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","86","2.0.0","83601","402","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","87","2.0.0","85612","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","88","2.0.0","86060","446","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","89","2.0.0","88061","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","90","2.0.0","88478","416","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","91","2.0.0","89990","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","92","2.0.0","90454","463","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","93","2.0.0","92217","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","94","2.0.0","92618","399","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","95","2.0.0","94627","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","96","2.0.0","94938","309","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","97","2.0.0","96944","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","98","2.0.0","97353","407","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","99","2.0.0","98869","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","100","2.0.0","99219","349","images/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","101","2.0.0","99478","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","102","2.0.0","99861","381","images/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","103","2.0.0","105014","5140","<p>You responded correctly on 98% of the trials.</p>
          <p>Your average response time was 392ms.</p>
          <p>Press any key to complete the experiment. Thank you!</p>"," ","","",""
