age,hours_work_week,gpa,life_satisfaction,desire_to_achieve,number_drinks,stress
20,0,3.2,22,27,3,12
19,0,2.8,31,28,0,11
18,0,2.5,31,22,1,13
18,0,2.5,32,22,4,23
21,0,3.56,25,26,4,21
24,0,4,30,17,0,12
22,0,3.7,27,22,1,11
22,0,3.64,24,24,4,8
22,0,3.65,28,23,20,10
21,0,3.5,16,16,5,16
21,0,3.5,16,7,5,13
21,0,3.6,19,25,10,16
19,0,2.86,30,28,2,16
19,0,2.9,34,28,10,11
18,0,2.7,13,20,3,17
18,0,2.11,30,23,3,19
18,0,0,23,23,3,18
18,0,0,31,28,4,11
18,0,2.7,15,15,6,11
18,0,0,23,22,6,13
18,0,2.7,20,23,18,20
20,0,3.4,30,27,0,13
25,0,3.9,34,28,0,9
21,0,3.5,15,25,0,19
21,0,3.5,34,25,6,12
20,0,3,35,28,2,10
19,0,2.9,28,22,30,12
18,0,0,25,24,3,20
18,0,2.5,23,21,3,23
47,0,4,30,27,5,19
19,0,2.9,23,10,5,12
21,0,3.5,29,24,30,9
20,0,3.3,21,26,0,22
20,0,3.1,20,12,0,13
20,0,3,26,20,0,15
20,0,3,25,21,25,15
18,0,2.67,22,19,0,18
41,0,4,30,17,1.5,9
22,0,3.7,28,24,1,14
22,0,3.6,27,24,20,18
20,0,3.1,29,25,2,18
20,0,3.2,24,18,3,11
